City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,nemuro,43.3236,145.575,14.44,96,74,1.2,JP,1689791082
159,mersa matruh,31.3525,27.2453,27.11,78,0,4.12,EG,1689791439
160,vyksa,55.3175,42.1744,14.21,80,5,4.34,RU,1689791440
161,santiago de cao,-7.9589,-79.2392,23.07,78,75,4.12,PE,1689791440
162,camocim,-2.9022,-40.8411,30.25,59,67,6.49,BR,1689791441
163,campo gallo,-26.5833,-62.85,20.08,28,5,3.76,AR,1689791441
164,acarau,-2.8856,-40.12,29.46,63,28,7.93,BR,1689791441
165,hilo,19.7297,-155.09,25.06,100,100,5.36,US,1689791442
166,midvagur,62.0511,-7.1939,7.46,93,100,9.26,FO,1689791442
167,cadale,2.7603,46.3222,25.05,84,25,9.11,SO,1689791443
168,monywa,22.1167,95.1333,30.47,65,100,5.36,MM,1689791443
169,dudinka,69.4058,86.1778,11.34,70,47,2.87,RU,1689791112
170,urangan,-25.3,152.9,17.42,64,0,4.68,AU,1689791444
171,khandud,36.9513,72.318,20.56,50,39,3.5,AF,1689791444
172,port alfred,-33.5906,26.891,13.3,65,98,7.66,ZA,1689791092
173,east london,-33.0153,27.9116,10.52,81,75,8.75,ZA,1689791086
174,laguna,38.421,-121.4238,33.34,50,0,2.06,US,1689791446
175,san ignacio de velasco,-16.3667,-60.95,28.64,34,0,1.85,BO,1689791446
176,colonia,50.9333,6.95,22.36,57,75,6.17,DE,1689790949
177,dadukou,26.5479,101.7054,22.06,82,100,0.76,CN,1689791447
178,ampelona,39.75,22.3667,32.04,35,0,2.06,GR,1689791447
179,nadym,65.5333,72.5167,19.12,92,100,3.06,RU,1689791060
180,awjilah,29.1081,21.2869,32.14,29,0,4.01,LY,1689791449
181,maseru,-29.3167,27.4833,6.28,31,0,2.07,LS,1689791450
182,tucuma,-0.1833,-50.05,30.12,61,16,3.3,BR,1689791450
183,brisas de zicatela,15.8369,-97.0419,32.22,54,31,3.33,MX,1689791276
184,klyuchi,52.2667,79.1667,24.37,36,71,2.13,RU,1689791053
185,sena madureira,-9.0656,-68.6569,31.84,46,100,1.62,BR,1689791451
186,robore,-18.3333,-59.75,27.4,33,0,0.8,BO,1689791126
187,kushiro,42.975,144.3747,15.1,97,70,1.19,JP,1689790795
188,batroun,34.2553,35.6581,28.26,90,0,2.67,LB,1689791453
189,kill devil hills,36.0307,-75.676,30.0,82,40,7.2,US,1689791044
190,egilsstadir,65.2653,-14.3948,7.95,76,40,4.63,IS,1689791153
191,utrik,11.2278,169.8474,28.48,80,78,9.01,MH,1689791077
192,thinadhoo,0.5333,72.9333,28.23,75,36,4.91,MV,1689791454
193,atafu village,-8.5421,-172.5159,28.52,77,64,7.75,TK,1689791021
194,ironwood,46.4547,-90.171,20.19,88,100,0.0,US,1689791455
195,timbuktu,16.7735,-3.0074,39.86,19,7,5.69,ML,1689791455
196,quirinopolis,-18.4483,-50.4517,31.41,27,100,2.32,BR,1689791456
197,rongelap,11.1635,166.8941,28.17,80,76,4.06,MH,1689791236
198,cannonvale,-20.2833,148.7,19.66,85,81,4.09,AU,1689791065
199,moree,-29.4667,149.85,5.37,52,0,2.03,AU,1689791457
200,mount pearl,47.5166,-52.7813,29.07,72,75,9.77,CA,1689791457
201,balqash,46.8481,74.995,26.39,40,100,5.18,KZ,1689791458
202,buka,40.8108,69.1986,26.81,29,4,4.61,UZ,1689791155
203,san patricio,28.017,-97.5169,38.4,38,9,7.07,US,1689791192
204,zouerate,22.7187,-12.4521,40.58,17,15,5.99,MR,1689791459
205,nuuk,64.1835,-51.7216,7.34,100,100,8.23,GL,1689790878
206,badger,64.8,-147.5333,19.17,83,75,1.54,US,1689791057
207,itoigawa,37.0333,137.85,22.23,94,88,0.8,JP,1689791461
208,kalemie,-5.9475,29.1947,22.14,58,23,0.42,CD,1689791046
209,stara vyzhivka,51.4376,24.44,18.03,66,90,2.43,UA,1689791461
210,usinsk,65.9939,57.5281,19.95,67,96,4.48,RU,1689791462
211,pangody,65.85,74.4859,18.36,96,100,3.28,RU,1689791462
212,san luis de la loma,17.2706,-100.8939,32.32,58,69,3.93,MX,1689791024
213,boyolangu,-8.1181,111.8935,21.03,92,21,1.76,ID,1689791463
214,mana,5.6592,-53.7767,28.76,71,19,4.64,GF,1689791464
215,iskateley,67.6803,53.1512,17.47,73,21,5.11,RU,1689791015
216,arraial do cabo,-22.9661,-42.0278,19.98,94,100,5.14,BR,1689791037
217,toamasina,-18.1667,49.3833,21.0,94,40,2.06,MG,1689791004
218,launceston,-41.45,147.1667,6.2,89,100,1.54,AU,1689791466
219,khomeyn,33.6423,50.0789,26.27,34,14,2.99,IR,1689791466
220,beloyarskiy,63.7119,66.6722,18.56,88,100,3.03,RU,1689791467
221,tsiombe,-25.3,45.4833,20.26,73,25,2.48,MG,1689791022
